#Social Body Lab - TTCResearch: https://github.com/Social-Body-Lab/TTCResearch
#Authors: Emma Cohen (emma.cohen@anthro.ox.ac.uk), Arran J. Davis (arran.davis@anthro.ox.ac.uk | davis.arran@gmail.com), Jacob Taylor (jacob.taylor@anthro.ox.ac.uk)
"GeneralIndex","TeamIDVar","Sex","Q1.2TTDistance","Q1.3.1Optim","Q1.3.2Useful","Q1.3.3Relax","Q1.3.4Interest","Q1.3.5Energy","Q1.3.6Probl","Q1.3.7Clear","Q1.4.1Good","Q1.4.2Close","Q1.4.3Confi","Q1.4.4Mind","Q1.4.5Love","Q1.4.6NewInt","Q1.4.7Cheer","Q231Panicky","Q232Lively","Q233Confused","Q34Worn","Q235Depres","Q236Down","Q23a.1Annoy","Q23a.2Exhaust","Q23a.3Mix","Q23a.4Sleep","Q23a.5Bitter","Q23a.6Unhap","Q23b.1Worr","Q23b.2Energ","Q23b.3Mis","Q23b.4Muddl","Q23b.5Nerv","Q23b.6Angry","Q23c.1Acti","Q23c.2Anx","Q23c.3BadT","Q23c.4Tire","Q23c.5Alert","Q23c.6Uncet","Q2.4Circles","Q251Rely","Q251Rely.R.","Q252Cont","Q253TWork","Q254Coop","Q254Coop.R.","Q261Close","Q262Simi","Q263Talk","Q264Enjoy","Q265Thing","Q266Valu","Q266Valu.R.","Q267Oft","Q268Like","Q26a.1Personal","Q26a.2Relat","Q26a.3Attit","Q26a.4Opin","Q26a.5Import","Q26a.6EDay","Q26a.7Simi","Q271Conn","Q272Bond","Q273Commi","Q281.impact","Q282threat","Q283Affect","Q284Excite","Q285Anx","Q286Conse","Q28a.1nega","Q28a.2Impli","Q28a.3Eager","Q28a.4Long","Q28a.5Stron","Q28a.6nega","Q291Able","Q292Prep","Q293Distr","Q294Perf","Q2.10.1Comf","Q2.10.2Posi","Q2.10.3Confi","Q2.10.4Be","Q2.10.a.1Care","Q2.10.a.2Boost","Q2.10.a.3Concern","Q2.10.a.4SEst","Q3.5.1Panicky","Q3.5.2Lively","Q3.5.3Confus","Q3.5.4Worn","Q3.5.5Depres","Q3.5.6Down","Q3.5.a.1Annoy","Q3.5.a.2Exhaus","Q3.5.a.3Mix","Q3.5.a.4Sleep","Q3.5.a.5Bitt","Q3.5.a.6Unhap","Q3.5.b.1Worri","Q3.5.b.2Energ","Q3.5.b.3Mis","Q3.5.b.4Muddl","Q3.5.b.5Nerv","Q3.5.b.6Angr","Q3.5.c.1Activ","Q3.5.c.2Anx","Q3.5.c.3BadT","Q3.5.c.4Tire","Q3.5.c.5Alert","Q3.5.c.6Uncer","Q3.6.1Pain","Q3.6.2Fatigue","Q3.6.3Effort","Q3.7Circles","Q3.8.1Connect","Q3.8.2Bond","Q3.8.3.Commit","Q3.9.1Need","Q3.9.2Help","Q3.10.1Cheer","Q3.10.2Able","Q3.10.3.ves","Q3.10.4Listen","Q3.10.5Comfort","Q3.10.a.1Concern","Q3.10.a.2Can","Q3.10.a.3Encourage","Q3.10.a.4Confi","Q3.10.a.5Be","Q3.11.1Indiv","Q3.11.2Team","Q3.12.1IExpect","Q3.12.2TExpect","Q4.5.1Optim","Q4.5.2Use","Q4.5.3Relax","Q4.5.4Intere","Q4.5.5Energ","Q4.5.6Probl","Q4.5.7Clear","Q4.6.1Good","Q4.6.2Close","Q4.6.3Confi","Q4.6.4Mind","Q4.6.5Love","Q4.6.6New","Q4.6.7Cheer","Q4.7Circles","Q4.8.1Close","Q4.8.2Simi","Q4.8.3Talk","Q4.8.4Time","Q4.8.5Things","Q4.8.6Values","Q4.8.6ValuesR","Q4.8.7See","Q4.8.8Like","Q4.8.a.1Personal","Q4.8.a.2Relat","Q4.8.a.3Attit","Q4.8.a.4Opin","Q4.8.a.5Import","Q4.8.a.6EDay","Q4.8.a.7Vsimi","Q4.9.1Connect","Q4.9.2Bond","Q4.9.3Commit","threat_t2","threat_t2_outcome","threat_t2_emotion","challenge_t2","centrality_t2","tension_t2","vigour_t2","confusion_t2","fatigue_t2","depression_t2","anger_t2","tension_t3","vigour_t3","confusion_t3","fatigue_t3","depression_t3","anger_t3","closeness_t2","similarity_t2","eday_centrality_t2","closeness_t4","similarity_t4","eday_centrality_t4","wellbeing_t1","wellbeing_t4","Q251RelyR","Q254CoopR","interdependence_t2","collective_efficacy_t2","perceived_support_t2_emotional","perceived_support_t2_esteem","received_support_t3_emotional","received_support_t3_esteem","bonding_t2","bonding_t3","bonding_t4","phys_diff_t3","peform_satisfaction_t3","peform_satisfaction_expect_t3","experienced_interdependence_t3"
"11",13,"104","Male",35,3,4,3,3,2,4,4,4,2,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,"105","Male",35,3,3,3,3,4,3,3,3,3,3,4,4,4,3,1,3,1,1,1,0,1,1,1,1,1,1,1,3,1,0,2,0,3,3,0,1,0,1,5,2,6,6,6,6,2,6,6,7,6,6,1,7,5,6,5,5,5,6,7,5,4,5,5,6,5,2,5,5,5,5,2,1,5,2,5,2,7,6,8,9,3,5,4,5,5,5,5,6,1,3,0,4,0,0,0,3,0,4,0,0,0,4,1,0,0,0,4,1,0,4,1,0,10,9,9,5,7,5,6,5,7,4,5,5,5,5,4,4,5,4,5,4,4,4,7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,7,6,6,7,6,2,6,6,5,5,6,5,7,6,6,7,6,7,1.79583527615478,1.65508627057494,1.22097768480735,5,3.25,1.75,2.25,0.75,1,0.75,0.666666666666667,0.5,3,0,3.75,0.25,0,5.83333333333333,5.25,5.66666666666667,5.71428571428571,6.5,6,3.18181818181818,4.92857142857143,6,2,4.66666666666667,7.5,4.5,5,4.6,4.6,-0.181724447920247,0.0781003299154117,0.432591843125538,1.60234933261666,-0.81406487636357,-0.6843557343849,-0.0514885423475355
"13",15,"105","Male",35,2,3,4,2,4,3,5,4,4,3,4,4,4,3,1,4,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,4,0,0,1,0,0,1,2,6,4,7,1,7,5,4,4,5,4,4,4,3,7,4,4,5,7,6,3,4,4,4,4,5,1,1,5,1,1,1,1,5,1,3,1,5,6,6,6,5,3,5,6,6,6,6,6,0,2,0,4,0,0,0,3,0,2,0,0,0,2,0,0,0,0,1,0,0,4,0,0,8,1,10,2,5,4,6,5,4,3,3,2,2,2,2,3,5,4,4,3,3,3,5,1,3,4,2,2,4,4,4,2,2,2,5,3,5,3,3,2,1,3,3,2,6,1,6,2,4,1,6,3,2,2,2,3,3,-1.17038709427398,-0.575812460606224,-1.3932756442638,4.5,1,0.5,2.75,0,0.75,0,0,0,1.25,0,3.25,0,0,5.16666666666667,4.25,3.33333333333333,3.85714285714286,2,1.33333333333333,3.54545454545455,3.07142857142857,6,7,6,5.75,5.75,5,2.6,3.4,-2.51721883029641,-1.65062955643092,-2.14883526116493,-0.877963160318393,-2.39197861981772,-1.59074460283711,-1.65480172840967
"14",16,"105","Female",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,1,7,7,7,1,7,6,6,7,6,3,3,5,5,6,1,2,3,3,5,5,4,2,4,4,4,1,3,5,2,2,1,1,5,1,2,1,3,7,5,5,2,4,4,4,2,4,6,6,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,8,10,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.883224660052351,-0.575812460606224,-0.894902246609634,4,1.75,0.25,0.75,0,0.25,0,0,0,0.75,0,3,0,0,4.33333333333333,4,5.66666666666667,NA,NA,NA,NA,NA,7,7,7,5,3.5,4.5,4,4,-2.09442160571292,0.106366823300652,NA,-0.659547552497728,-0.81406487636357,0.74406518604813,-0.0957715313929085
"15",17,"105","Male",35,4,4,3,1,2,5,5,5,1,4,5,1,3,4,0,3,1,0,1,0,0,0,0,1,0,1,0,2,0,1,1,0,2,0,0,1,2,2,3,5,3,3,4,1,7,3,3,4,6,3,2,6,7,6,2,2,4,7,7,4,3,3,4,5,5,3,4,5,2,2,1,1,4,1,5,1,5,7,9,7,3,3,4,5,3,3,4,5,2,3,3,3,0,0,1,2,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,3,5,8,3,5,4,7,4,4,3,4,4,5,5,3,3,3,4,2,5,5,5,3,4,5,3,4,3,4,4,5,4,4,4,5,4,4,2,4,2,3,4,3,5,3,4,5,4,7,6,7,7,4,3,5,5,6,-0.197798416073931,-0.575812460606224,0.346617230299341,4.75,2,0.25,2.25,1,0.5,0.5,0,0.5,2,0.75,1.75,0,0.25,4.33333333333333,3.25,5,5.42857142857143,3.5,3.66666666666667,3.81818181818182,4.07142857142857,3,7,4.66666666666667,7,3.75,3.75,3.6,3.6,-1.99798604650795,-1.07308537149616,-0.51105526394901,-1.37279164584865,0.763848867090582,-1.66122505454053,-2.14495646805167
"16",18,"105","Male",35,4,3,4,4,4,4,4,4,4,4,4,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,4,4,5,5,5,3,6,5,6,5,5,6,2,6,6,5,5,5,6,6,5,5,5,5,4,5,1,4,4,1,3,1,1,4,2,4,1,7,7,7,7,4,5,4,5,4,4,5,5,0,2,0,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,2,1,0,3,5,7,5,6,5,4,5,5,2,2,3,2,3,2,2,2,2,3,4,5,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17038709427398,-0.575812460606224,-1.3932756442638,4.25,2.5,0,0.75,0.25,0,0,0,0,1.25,0.5,1.5,0,0,5.5,5,5.66666666666667,NA,NA,NA,3.90909090909091,NA,4,3,4.33333333333333,7,4.5,4.5,2.4,2.2,-0.79739279091367,-0.803294661205343,NA,-1.37279164584865,0.055498442182505,1.0579415508161,-1.12036399972229
"17",19,"106","Male",35,5,4,4,5,5,5,5,5,4,5,5,4,4,5,0,3,0,0,0,0,0,1,0,1,0,0,0,4,0,0,2,0,3,1,0,1,2,0,5,6,2,6,7,5,3,7,7,7,7,7,6,2,7,7,5,6,6,6,6,6,6,6,6,6,5,1,2,5,2,4,1,2,5,2,5,1,10,10,10,10,5,5,5,5,6,6,5,6,0,3,0,3,0,0,1,3,0,1,0,0,0,4,0,0,1,0,2,1,0,3,1,0,7,8,10,5,7,7,7,6,6,5,5,5,5,5,3,3,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,4,4,7,7,5,7,7,7,7,7,7,7,7,7,-0.883224660052351,-0.575812460606224,-0.894902246609634,5,2.5,0.75,3,0,0.75,0,0,0.5,2.5,0,2.5,0,0.25,6.33333333333333,6.5,6.66666666666667,6.71428571428571,7,7,4.72727272727273,4.92857142857143,2,3,5.33333333333333,10,5.25,5.5,4.6,4.6,0.488943039350057,1.00530525385891,1.35742332892303,0.497108935500795,0.763848867090582,-0.719595960236609,-0.0957715313929085
"18",20,"106","Male",35,5,5,4,4,4,4,5,4,5,5,5,5,4,5,0,3,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,3,1,0,1,3,0,5,5,3,4,7,1,7,7,6,7,6,6,1,7,7,7,4,7,6,4,7,6,6,6,7,7,5,1,4,5,2,3,1,3,5,3,5,1,9,10,10,9,6,6,6,6,6,4,6,6,0,3,0,4,0,0,0,4,0,3,0,0,0,3,0,0,0,0,2,0,0,4,3,0,6,6,10,5,7,7,7,7,6,4,4,4,5,4,5,5,5,5,5,5,5,9,9,5,5,3,5,4,5,5,5,5,5,5,5,4,5,5,7,7,7,6,7,1,7,7,6,4,7,7,5,7,5,6,7,7,6,-0.883224660052351,-0.575812460606224,-0.894902246609634,5,3.25,1,3,0,0.5,0,0,0,2.75,0,3.75,0,0,6.33333333333333,6,6.66666666666667,6,6.75,6.33333333333333,4.63636363636364,4.71428571428571,3,7,6,9.5,6,5.5,4.6,4.6,1.1542640343526,1.00530525385891,1.13629458919392,-0.267551248732784,0.763848867090582,1.33657768973237,0.394383208249097
"19",21,"106","Male",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,1,0,0,2,0,0,1,3,1,0,2,0,4,2,0,1,1,0,4,6,2,6,7,2,6,6,5,7,6,4,4,4,7,7,3,6,5,5,6,4,4,6,6,6,5,3,4,5,2,3,1,1,1,1,4,1,8,9,9,9,5,5,6,6,5,5,5,5,0,0,0,2,0,0,0,2,0,3,0,0,0,2,0,0,0,0,3,0,0,3,1,0,7,6,10,4,6,6,6,6,6,4,4,5,4,5,4,5,5,5,4,5,5,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197798416073931,-0.575812460606224,0.346617230299341,3.75,2.25,1.5,2.5,0,0.75,0.25,0.333333333333333,0,1.5,0,2.5,0,0,5.66666666666667,4.5,6,NA,NA,NA,NA,NA,2,6,6.33333333333333,8.75,5.25,5.25,4.2,4.8,0.226653401321948,-0.173804679944616,NA,0.0216128732668469,0.763848867090582,0.74406518604813,-0.0957715313929085
"20",22,"107","Male",35,3,3,4,4,4,3,4,4,4,4,3,5,4,4,1,3,1,1,0,0,1,1,1,2,0,1,1,2,0,0,1,0,3,2,0,1,1,1,4,2,6,7,6,1,7,6,5,7,6,6,4,4,6,6,4,5,5,6,7,6,5,6,6,6,5,2,5,5,2,3,1,3,5,5,5,1,7,8,9,7,6,6,5,6,6,5,5,5,0,3,0,2,0,0,0,2,1,2,0,0,0,1,0,0,0,0,2,1,0,2,1,0,5,2,8,5,7,6,6,7,7,4,2,5,3,3,4,5,5,5,4,4,5,8,8,3,4,3,4,3,4,4,4,5,4,4,4,3,4,5,6,6,7,7,6,5,3,7,7,6,6,6,7,7,6,7,7,7,7,-0.540511538063141,-0.575812460606224,-0.274142508155147,5,4,1.25,2.25,0.75,1.25,0.25,0.333333333333333,0.25,1.75,0.25,2,0,0,5.66666666666667,5.25,6.33333333333333,6.57142857142857,6.25,6.66666666666667,3.63636363636364,3.78571428571429,6,7,6.66666666666667,7.75,5.75,5.25,3.6,4.4,0.226653401321948,0.393016451042415,1.35742332892303,-1.50770749520031,0.055498442182505,0.74406518604813,0.928820936936475
"21",23,"107","Male",35,2,4,3,4,5,3,4,4,4,5,5,4,5,3,0,3,0,1,2,2,1,0,0,0,1,1,0,3,1,0,0,1,3,0,1,0,2,0,3,5,3,7,1,1,7,6,3,7,5,5,3,5,7,5,6,5,3,3,4,3,3,5,5,3,5,1,4,4,1,4,1,1,5,5,5,1,4,3,2,2,4,4,3,3,3,3,3,3,0,3,1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,1,3,0,1,1,3,0,3,3,8,5,5,5,5,4,7,2,4,3,5,2,5,2,2,3,4,5,2,9,6,1,5,4,4,3,5,5,4,4,5,5,4,5,5,4,5,5,7,6,6,2,6,7,6,6,5,5,4,5,3,4,5,5,5,-1.17038709427398,-0.575812460606224,-1.3932756442638,4.75,3.5,0,2.75,0,0.25,1.5,1,0,3,0.25,1,0,0.75,5.16666666666667,3.5,5.66666666666667,5.28571428571429,5,5.66666666666667,3.81818181818182,4.21428571428571,3,7,5,2.75,3.25,3.25,3.6,2.8,-1.6298062384666,-0.792571607257609,-0.274744390967465,-1.8482877080826,-1.84484108854764,0.394948595428448,-0.54164328198954
"22",24,"107","Female",35,5,4,4,5,5,5,4,3,5,3,5,5,5,5,0,3,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,4,1,0,1,3,0,5,3,5,7,7,1,7,6,7,7,7,7,1,7,7,7,6,7,7,7,7,6,7,7,7,7,5,1,1,5,2,3,1,1,5,1,5,1,10,10,10,10,6,6,6,6,6,6,6,6,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,9,1,10,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,8,9,5,5,4,5,5,5,5,3,5,4,5,5,5,5,5,7,7,7,7,7,7,1,7,7,7,6,7,7,7,6,7,7,7,7,-0.883224660052351,-0.575812460606224,-0.894902246609634,5,1.5,0.75,3.25,0,0.5,0,0,0,2,0,0.5,0,0,6.66666666666667,7,6.66666666666667,6.85714285714286,7,6.66666666666667,4.36363636363636,4.71428571428571,5,7,7,10,6,6,5,5,1.46744469811707,1.00530525385891,1.35742332892303,-0.588799038318763,0.763848867090582,1.0579415508161,0.928820936936475
"23",25,"107","Male",35,4,4,4,4,5,4,5,4,4,5,5,4,5,5,0,3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,3,1,0,1,3,1,5,5,3,7,7,1,7,6,6,7,7,7,2,6,7,7,5,7,6,7,7,6,6,7,7,7,4,4,1,5,2,5,1,3,5,4,5,1,7,9,9,10,6,6,4,6,6,6,6,5,0,4,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,3,0,0,2,3,0,4,2,8,5,7,7,7,6,6,5,4,5,3,4,5,5,5,5,5,5,5,7,9,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,7,7,6,7,7,1,7,7,7,4,6,6,7,7,6,6,6,7,7,0.144914705915279,-0.575812460606224,0.967376968753828,4.75,3.25,0.75,3,0.5,0.5,0,0,0,3.25,0,1.5,0,0,6.5,6.25,6.66666666666667,6.42857142857143,6.5,6.33333333333333,4.45454545454545,4.92857142857143,3,7,7,8.75,6,5.25,4.4,4.8,1.46744469811707,1.00530525385891,0.886780372260738,-1.79687161719994,0.763848867090582,0.779305411899838,-0.0957715313929085
"24",26,"107","Female",35,4,3,4,5,3,5,4,4,4,4,5,5,5,5,3,3,1,1,0,0,0,1,1,1,0,0,4,3,0,0,4,0,3,3,1,1,2,2,4,2,6,6,5,2,6,5,5,7,6,6,4,4,7,7,5,6,6,5,7,6,5,5,6,6,4,2,4,5,4,4,1,1,4,4,5,1,6,9,9,6,5,6,6,5,5,5,5,5,1,2,1,4,0,0,0,4,3,3,0,0,1,0,0,2,0,0,2,0,0,4,0,1,7,9,10,4,7,7,7,5,6,4,4,4,4,4,4,5,5,4,4,4,5,9,9,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,6,6,7,5,6,5,3,7,6,6,6,6,5,6,5,5,6,6,7,0.0338133303801206,-0.575812460606224,0.722604287153182,4.5,3.25,3.5,2.75,1,1,0,0.333333333333333,0.5,1,1.75,3.75,0,0,6,5.5,6.66666666666667,5.71428571428571,5.75,6.33333333333333,4.09090909090909,4,6,6,5.66666666666667,7.5,5,5.5,4,4.4,-0.0865272624425244,0.725133750613645,0.648108305529232,0.734856966617769,0.055498442182505,1.33657768973237,-0.585926271034914
"25",27,"107","Female",35,4,3,2,3,2,4,4,3,4,3,4,4,4,4,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,1,2,0,1,1,1,3,3,5,3,4,3,5,5,4,3,4,4,4,4,2,4,1,4,4,7,5,2,2,4,3,4,4,2,3,4,4,2,1,1,4,1,5,1,5,6,6,5,4,4,3,4,3,3,4,3,0,2,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,6,7,9,4,5,6,5,6,5,3,3,2,2,3,3,3,4,3,2,3,4,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338133303801206,-0.575812460606224,0.722604287153182,4.25,1.75,2,1,0.25,0.5,0,0,0,1,0,1.75,0,0,3.83333333333333,3.5,2.33333333333333,NA,NA,NA,3.36363636363636,NA,5,5,4,5.5,3.75,3.25,2.6,3,-2.35012637774602,-0.757826989375875,NA,-0.0298032176158097,-1.52241530127165,0.465429047131865,-0.630209260080287
"26",28,"108","Female",35,4,3,4,4,4,4,4,4,4,4,5,5,3,4,2,2,1,1,1,1,0,1,3,1,0,0,2,1,1,1,2,0,2,2,1,2,2,2,4,4,4,6,5,2,6,6,6,6,6,6,3,5,6,6,5,6,6,5,5,6,4,5,6,6,5,4,5,5,5,4,1,2,5,2,5,1,6,8,8,6,5,4,5,5,5,5,5,5,0,3,1,3,0,0,0,3,3,3,0,0,0,1,0,1,1,0,3,1,0,4,2,0,7,8,10,4,6,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,5,8,7,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,6,5,7,6,5,3,5,7,6,6,6,6,5,6,5,5,6,6,6,1.00640200858017,-0.575812460606224,2.46249716171632,5,3.25,2,1.75,1.75,1.25,0.75,0.333333333333333,0.5,2.25,1.25,3.25,0,0,5.66666666666667,5.5,6,5.85714285714286,5.25,6.33333333333333,4,3.78571428571429,4,6,5.66666666666667,7,5,4.75,4,4,-0.0865272624425244,-0.173804679944616,0.426979565800118,0.497108935500795,0.055498442182505,0.430188821280156,0.928820936936475
"27",30,"109","Female",35,4,5,3,4,3,4,4,4,4,4,5,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,3,1,0,0,3,0,5,1,7,7,7,1,7,7,7,7,7,7,4,4,7,7,7,7,7,6,7,6,7,7,7,7,5,1,3,5,2,5,1,3,5,1,5,1,5,10,10,10,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,4,4,4,4,3,3,4,5,4,5,5,7,7,7,7,7,5,3,7,7,7,7,7,6,7,6,6,7,7,7,-0.883224660052351,-0.575812460606224,-0.894902246609634,5,3,0.75,3.25,0,0,0,0,NA,NA,NA,NA,NA,NA,7,7,6.66666666666667,6.85714285714286,6.75,6.66666666666667,4.09090909090909,3.78571428571429,7,7,7,8.75,6,6,NA,NA,1.46744469811707,NA,1.35742332892303,NA,NA,NA,NA
"28",31,"109","Female",35,4,4,3,4,4,4,3,3,3,3,4,4,5,4,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,0,3,1,0,1,3,0,5,1,7,7,7,1,7,7,7,7,7,6,2,6,7,7,6,7,6,7,7,7,6,7,7,7,5,1,5,5,3,5,1,1,5,5,5,1,10,10,10,10,6,6,6,6,6,6,6,6,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,4,4,0,7,7,10,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,9,9,3,3,3,2,3,3,4,2,2,2,4,2,2,2,5,7,7,7,7,7,1,7,7,7,5,7,7,7,7,7,7,7,7,7,-0.59606222583072,-0.575812460606224,-0.39652884895547,5,4,1.5,2.75,0,0.5,0,0,0,4,0,4,0,0,6.83333333333333,6.25,7,6.71428571428571,7,7,3.54545454545455,2.64285714285714,7,7,7,10,6,6,5,5,1.46744469811707,1.00530525385891,1.35742332892303,0.259360904383821,0.763848867090582,1.33657768973237,0.928820936936475
"29",32,"109","Female",35,3,4,3,4,3,3,4,4,4,2,3,4,4,5,1,2,0,2,0,0,0,2,0,3,0,0,0,2,0,0,2,0,3,0,0,2,0,0,4,1,7,7,7,1,7,7,7,7,7,7,2,6,7,7,7,7,7,7,7,6,7,7,7,7,5,2,3,5,4,3,1,2,5,1,5,1,8,8,7,8,6,6,6,6,6,6,6,6,1,2,0,4,0,0,0,4,1,3,0,0,0,2,0,0,0,0,1,0,0,4,0,0,6,8,9,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,9,9,4,4,3,3,2,3,3,4,3,4,4,3,3,4,5,7,7,7,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,0.0338133303801206,-0.575812460606224,0.722604287153182,5,2.25,0.75,1.75,0,2.25,0,0,0.25,1.25,0.25,3.75,0,0,7,7,6.66666666666667,7,7,7,3.45454545454545,3.35714285714286,7,7,7,7.75,6,6,5,5,1.20515506008896,1.00530525385891,1.35742332892303,0.207944813501165,0.763848867090582,1.33657768973237,0.928820936936475
"30",33,"109","Female",35,2,4,3,2,3,3,3,4,4,4,4,4,4,4,1,2,0,1,0,0,0,0,0,1,0,0,2,3,0,0,2,0,3,2,0,1,2,1,4,2,6,5,4,1,7,6,5,7,7,6,4,4,7,7,3,7,7,7,7,5,6,7,6,6,5,1,3,4,3,2,1,2,5,1,4,1,6,8,9,7,4,6,4,6,6,5,5,5,0,3,0,2,0,0,0,2,0,2,0,0,0,3,0,0,0,0,3,0,0,2,3,0,7,7,10,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,9,9,2,3,3,2,3,4,4,5,5,5,4,5,5,5,4,4,4,5,7,6,3,5,6,7,4,5,5,7,5,5,5,6,6,5,-0.59606222583072,-0.575812460606224,-0.39652884895547,4.5,2,1.75,2.5,0.25,0.75,0,0,0,3,0,2,0,0,6.16666666666667,6,6.33333333333333,5.57142857142857,5,5.33333333333333,3.45454545454545,3.92857142857143,6,7,5.33333333333333,7.5,5.25,5,5,5,0.539834065086421,1.00530525385891,0.205850826071004,0.259360904383821,0.763848867090582,1.33657768973237,0.928820936936475
